Obj,Cpu,Nodes
1.4347621303809919,0.183976715,57
1.4426303305829737,0.016404776,25
1.5999112124110755,0.127891455,245
1.5768268647466934,0.057006171,195
1.5685917690415394,0.022355107,33
1.6052368854915917,0.080268504,247
1.6057357136510162,0.082962722,281
1.6487826997853874,0.074720519,223
1.684410982217829,0.17529797,537
1.6227826289011575,0.139307021,545
1.6454551472702876,0.808919159,2239
1.8071468667105688,0.576218781,1321
1.7802651806909568,2.155056621,4965
1.7510427784339664,0.998396376,3029
1.7646070490079446,0.952244795,2053
1.8619310586954503,28.045584493,46313
1.9299503219067833,15.868839938,23003
1.9012425830554844,76.800800049,104797
1.8738701093052712,146.6517893,205265
1.864863107860952,39.711265512,58569
